open,high,low,close,volume,datetime
-2.81143184334492,-2.80209983515674,-2.86609074844706,-2.86342446039329,6423700,2015-12-31 06:00:00
-2.93808052589866,-2.91275078938791,-2.9780748467051,-2.91408393341479,8551316,2016-01-04 06:00:00
-2.89675306106531,-2.75543979421589,-2.92074965354919,-2.77943638669975,12694915,2016-01-05 06:00:00
-2.81809756347932,-2.77543695461911,-2.86609074844706,-2.84076101193631,7567858,2016-01-06 06:00:00
-2.8994193491191,-2.85409245220512,-2.91141764536102,-2.87142332455458,11852807,2016-01-07 06:00:00
-2.86475760442017,-2.84476044401694,-2.9847405668395,-2.97274227059758,6373934,2016-01-08 06:00:00
-2.96207711838252,-2.90741821328038,-3.0252281509359,-2.93941366992554,8757367,2016-01-11 06:00:00
-2.91141764536102,-2.90475192522662,-3.01940231153843,-2.97674170267821,9651751,2016-01-12 06:00:00
-2.97407541462445,-2.9354142378449,-3.08072693677498,-3.07539436066746,12700706,2016-01-13 06:00:00
-3.05939663234487,-3.02740117569972,-3.16604815449538,-3.15938243436099,13943782,2016-01-14 06:00:00
-3.23803793194699,-3.14205156201152,-3.26603395651151,-3.15938243436099,13354470,2016-01-15 06:00:00
-3.11272239342013,-2.83542843582878,-3.13738555791744,-3.10205724120508,13541430,2016-01-19 06:00:00
-3.13138640979647,-3.07139492858681,-3.31802657355989,-3.27269967664592,17122328,2016-01-20 06:00:00
-3.24603679610828,-3.20470933127494,-3.33269115785559,-3.2740328206728,12028622,2016-01-21 06:00:00
-3.2300390677857,-3.13938527395776,-3.2740328206728,-3.16604815449538,6629240,2016-01-22 06:00:00
-3.17138073060292,-3.10205724120508,-3.20204304322119,-3.17804645073732,9082572,2016-01-25 06:00:00
-3.16338186644163,-3.03673318388789,-3.16738129852228,-3.03673318388789,7877586,2016-01-26 06:00:00
-3.04206575999542,-3.04206575999542,-3.13538584187712,-3.10205724120508,10292994,2016-01-27 06:00:00
-3.12072125758142,-3.01940231153843,-3.1940441790599,-3.11938811355455,14555477,2016-01-28 06:00:00
-3.0647292084524,-2.97007598254381,-3.1007240971782,-2.98074113475886,15049748,2016-01-29 06:00:00
-3.01806916751154,-2.86075817233952,-3.04339890402228,-2.91941650952231,12450410,2016-02-01 06:00:00
-2.92341594160296,-2.90875135730726,-3.00340458321585,-2.98207427878574,11545923,2016-02-02 06:00:00
-2.95941083032876,-2.91408393341479,-3.01940231153843,-2.91808336549543,11556631,2016-02-03 06:00:00
-2.95141196616747,-2.87142332455458,-2.99673886308144,-2.91008450133415,10787526,2016-02-04 06:00:00
-3.04206575999542,-2.95274511019435,-3.29069712100881,-3.26603395651151,25499986,2016-02-05 06:00:00
-3.2740328206728,-3.25536880429645,-3.53799533799534,-3.45400726430181,21854645,2016-02-08 06:00:00
-3.50200044926953,-3.42467809571041,-3.5339959059147,-3.47400442470502,15877784,2016-02-09 06:00:00
-3.44334211208675,-3.27203310463248,-3.45267412027491,-3.35802089436634,12357711,2016-02-10 06:00:00
-3.46600556054373,-3.39534892711901,-3.47133813665126,-3.43134381584482,10931031,2016-02-11 06:00:00
-3.39934835919966,-3.38468377490396,-3.47667071275877,-3.39401578309214,12571970,2016-02-12 06:00:00
