,setup_prob_add,setup_prob_del,setup_prob_change,setup_actual_add,setup_actual_del,setup_actual_change,predict_prob_add,predict_prob_del,predict_prob_change,predict_actual_add,predict_actual_del,predict_actual_change,update_prob_add,update_prob_del,update_prob_change,update_actual_add,update_actual_del,update_actual_change
0,0.7902000000000002,0.10979999999999995,0.09640439999999997,2,5,5,0.5726933619401677,0.32730663805982513,0.12793533872993193,2547,2812,6744,0.4273831998694374,0.4726168001305625,0.1360625379458166,275,231,575
1,0.7127999999999999,0.18719999999999995,0.1482624,7,2,5,0.6755340000000002,0.22446599999999964,0.14562419424,223,201,439,0.6278071737635206,0.2721928262364796,0.15741083720163604,228,153,367
2,0.891,0.009000000000000008,0.008910000000000005,12,0,0,0.8617676854822679,0.03823231451773215,0.035549564531341574,138,67,189,0.8004637928878189,0.09953620711218127,0.08237705057687542,178,123,301
3,0.8225999999999997,0.07739999999999994,0.07074359999999999,3,4,7,0.8187015019762846,0.0812984980237154,0.0738623256916996,19,8,34,0.8054179551999157,0.09458204480008439,0.08401342389264861,80,60,128
4,0.7127999999999999,0.18719999999999995,0.1482624,6,2,6,0.711,0.18899999999999997,0.14929608,3,4,5,0.6744085162473085,0.22559148375269134,0.1669935424574566,226,176,379
5,0.891,0.009000000000000008,0.008910000000000005,14,0,0,0.8297081288470333,0.07029187115296667,0.04539503300985425,333,220,539,0.7477451596349508,0.15225484036504916,0.06781678575360323,164,107,291
6,0.8712,0.028800000000000034,0.027878400000000025,1,5,8,0.7418409534634978,0.15815904653650253,0.05077202352331287,1344,1474,3770,0.6672250688520026,0.2327749311479975,0.08940703146149433,219,180,427
7,0.6462000000000001,0.2538,0.18222840000000004,3,4,6,0.6457200000000001,0.25428,0.18242952,7,4,3,0.5963074831475323,0.30369251685246756,0.19910427475333178,277,189,477
8,0.8531999999999997,0.04680000000000006,0.044366400000000035,4,3,5,0.8480751724137933,0.051924827586206944,0.048701019310344866,23,3,34,0.8171046701252033,0.08289532987479674,0.0730759098662727,150,96,257
9,0.8352000000000003,0.06479999999999995,0.06013439999999995,2,2,9,0.8335465263157896,0.06645347368421049,0.06153338778947363,9,8,18,0.8082883115943239,0.09171168840567602,0.08128087595624783,146,123,265
10,0.7091999999999998,0.19079999999999991,0.15035040000000002,5,3,5,0.70752,0.19247999999999996,0.15130127999999995,6,3,5,0.6541882420924606,0.24581175790753942,0.17679886718968515,318,232,527
11,0.6462000000000001,0.2538,0.18222840000000004,6,2,5,0.6428879999999999,0.25711200000000006,0.1835848032,11,7,18,0.5891130927406653,0.310886907259335,0.20188475054158925,296,212,477
12,0.7091999999999998,0.19079999999999991,0.15035040000000002,5,2,8,0.7076399999999999,0.19235999999999998,0.15123432,6,1,5,0.6690754928287959,0.23092450717120408,0.170046379389142,233,147,387
13,0.5579999999999999,0.3419999999999999,0.21204000000000003,3,4,5,0.5568000000000001,0.3432,0.21231120000000006,5,3,5,0.5072995051378736,0.3927004948621264,0.21964483320216122,290,182,488
14,0.6462000000000001,0.2538,0.18222840000000004,2,3,7,0.6305742019543975,0.2694257980456026,0.1836000273615635,92,63,137,0.5744099277739324,0.3255900722260677,0.19023097530650943,249,203,450
15,0.6462000000000001,0.2538,0.18222840000000004,4,2,7,0.6454800000000002,0.25452,0.18253656000000001,4,4,6,0.6130293771425386,0.2869706228574616,0.19387588899771446,202,130,329
16,0.7091999999999998,0.19079999999999991,0.15035040000000002,6,1,7,0.70752,0.19247999999999993,0.15130607999999995,2,6,4,0.66177113491717,0.23822886508283012,0.173367412819763,298,193,517
17,0.7433999999999998,0.15660000000000004,0.12935160000000007,1,4,8,0.7403852307692307,0.15961476923076928,0.1310921870769231,19,7,45,0.7334674285714284,0.1665325714285715,0.13500726857142858,21,18,42
