,setup_prob_add,setup_prob_del,setup_prob_change,setup_actual_add,setup_actual_del,setup_actual_change,predict_prob_add,predict_prob_del,predict_prob_change,predict_actual_add,predict_actual_del,predict_actual_change,update_prob_add,update_prob_del,update_prob_change,update_actual_add,update_actual_del,update_actual_change
0,0.73457175,0.00042824999999999775,0.00042799638749999784,16,0,0,0.7343729999999999,0.0006270000000000059,0.000626322837500006,26,0,0,0.7335567620721433,0.0014432379278569035,0.0014377048666493432,210,0,0
1,0.5997000000000001,0.00029999999999996696,0.000299849999999967,9,0,0,0.5996037142857144,0.00039628571428570824,0.00039600324999999393,15,0,0,0.5987116319816737,0.0012883680183261399,0.0012815309838638783,223,0,2
2,0.5997000000000001,0.00029999999999996696,0.000299849999999967,13,0,0,0.5995261249999999,0.00047387500000000234,0.00047332151250000225,23,0,0,0.598661902204988,0.0013380977950118434,0.0013296397731014085,180,0,1
3,0.5995799999999998,0.0004200000000000203,0.00041970600000002043,12,0,0,0.5988059496503496,0.0011940503496503587,0.0011782710983916165,158,0,2,0.5970818891962725,0.0029181108037274277,0.0028294550763929296,218,0,3
4,0.5997000000000001,0.00029999999999996696,0.000299849999999967,15,0,0,0.5990944400431035,0.0009055599568965532,0.0009015396942739038,128,0,0,0.5967346076174012,0.003265392382598957,0.003216432517873765,392,0,2
5,0.59502,0.0049799999999999844,0.004938665999999984,10,0,0,0.5723192720531568,0.02768072794684271,0.023358125217460002,4765,231,545,0.5494726118363348,0.0505273881636651,0.03898092170906686,636,24,55
6,0.8240812500000002,0.000918749999999974,0.0009176578124999736,17,0,0,0.8231135322580647,0.001886467741935459,0.001853706287634384,186,0,8,0.8209053255389426,0.004094674461057158,0.003960715100207646,397,0,4
7,0.7343490000000003,0.0006509999999999731,0.0006503342999999731,12,0,0,0.734229576923077,0.0007704230769230576,0.0007695070346153649,23,0,0,0.7335329022470176,0.001467097752982309,0.001461275581009429,231,0,3
8,0.7941930000000003,0.0008069999999999758,0.0008061050999999761,17,0,0,0.7940210714285714,0.000978928571428553,0.0009775712738095052,35,0,0,0.7921860455785023,0.0028139544214977434,0.0027969111581190973,715,0,3
9,0.5987399999999998,0.0012599999999999942,0.0012573539999999948,9,0,0,0.5968680813714854,0.0031319186285146744,0.0030986901584002086,424,0,4,0.5913516075931649,0.00864839240683525,0.008452521567993112,762,0,10
10,0.7643857499999998,0.0006142500000000176,0.0006137528625000173,16,0,0,0.7642567500000002,0.000743250000000003,0.0007425090375000031,12,0,0,0.7634185285040385,0.0015814714959617043,0.001575330292797526,240,0,0
11,0.8985375,0.0014625000000000144,0.0014601187500000137,17,0,0,0.8984456249999999,0.0015543750000000236,0.0015516794500000238,21,0,0,0.8966659206067176,0.0033340793932825747,0.0033176291266281055,735,0,5
12,0.8984715000000005,0.0015285000000000162,0.0015258978500000161,19,0,0,0.89838825,0.0016117500000000222,0.0016088548875000223,16,0,0,0.8967315448849407,0.003268455115059299,0.003251979843453966,649,0,6
13,0.6894195,0.000580500000000013,0.0005800079250000126,14,0,0,0.6893324999999998,0.0006675000000000033,0.0006668398500000031,6,0,0,0.6887965039023257,0.0012034960976742804,0.0011989528474954654,148,0,2
14,0.8971875,0.0028125000000000402,0.0028034133750000395,17,0,0,0.8970988500000002,0.002901150000000016,0.0028915541415000167,15,0,1,0.8950509996221484,0.0049490003778514865,0.004917212187901569,988,0,6
15,0.8987549999999997,0.001244999999999963,0.0012432654999999632,18,0,0,0.8986049249999997,0.0013950749999999987,0.0013928342512499988,29,0,0,0.8968154700393626,0.0031845299606372843,0.003166544939349641,576,0,2
16,0.7346122500000001,0.00038775000000000235,0.0003875449875000022,15,0,0,0.7345004999999999,0.0004995000000000133,0.0004991490750000132,11,0,0,0.7330524637124367,0.0019475362875633964,0.001936064110749932,406,0,6
17,0.73461225,0.00038775000000000235,0.0003875449875000022,15,0,0,0.7343484472423802,0.0006515527576197499,0.000650165890852696,53,0,0,0.7329761335023823,0.0020238664976178033,0.002006221082371289,325,0,3
18,0.80877375,0.00122624999999999,0.0012242003062499895,17,0,0,0.8086923749999999,0.0013076250000000084,0.0013053458906250085,14,0,0,0.8073893982235825,0.0026106017764172323,0.002598809036031698,704,0,2
19,0.73461225,0.00038775000000000235,0.0003875449875000022,15,0,0,0.7338026973098328,0.0011973026901669899,0.0011779348073237615,172,0,3,0.7315466868786088,0.0034533131213912416,0.003361337304313607,390,0,3
20,0.7045769999999999,0.0004230000000000317,0.0004227462000000317,14,0,0,0.7043925357142857,0.0006074642857143034,0.0006067434982143034,24,0,0,0.7036085055423353,0.001391494457664537,0.001382520638974104,173,0,0
21,0.8993835000000001,0.000616500000000032,0.0006160774500000321,19,0,0,0.8992754999999999,0.0007245000000000202,0.0007239125750000201,16,0,0,0.8982818475484284,0.0017181524515716064,0.0017123787961621458,392,0,4
22,0.734559,0.00044100000000003305,0.00044073540000003303,18,0,0,0.7343922857142855,0.0006077142857143019,0.0006071832321428732,17,0,0,0.7330745652674855,0.0019254347325144007,0.0019135485662229094,338,0,2
23,0.8992080000000001,0.0007920000000000129,0.0007913001000000126,16,0,0,0.8991075000000002,0.0008925000000000016,0.0008916043250000016,13,0,0,0.8982325024273669,0.0017674975726329003,0.0017627809676054637,362,0,0
24,0.7493550000000002,0.0006450000000000125,0.0006444445000000122,17,0,0,0.7492410000000002,0.0007589999999999998,0.0007582148999999997,15,0,0,0.7485285442973695,0.0014714557026307,0.0014671795998298892,263,0,1
