,setup_prob_add,setup_prob_del,setup_prob_change,setup_actual_add,setup_actual_del,setup_actual_change,predict_prob_add,predict_prob_del,predict_prob_change,predict_actual_add,predict_actual_del,predict_actual_change,update_prob_add,update_prob_del,update_prob_change,update_actual_add,update_actual_del,update_actual_change
0,0.7717049999999999,0.08329500000000001,0.07451347499999997,16,0,2,0.7692300000000001,0.08576999999999999,0.0765129,15,0,2,0.6961641210581002,0.15883587894189988,0.1243071861378007,1032,70,231
1,0.7569,0.14310000000000003,0.12034710000000001,11,1,3,0.7550549999999999,0.14494500000000002,0.12159769500000003,15,0,3,0.6770481998937885,0.22295180010621155,0.16434481233361736,1106,121,259
2,0.7406400000000002,0.06936,0.06216608000000003,15,0,0,0.73875,0.07125,0.06376805999999999,16,0,1,0.6972730727126601,0.11272692728733998,0.09306604712802317,846,35,160
3,0.8113799999999998,0.08861999999999996,0.07960873999999998,13,0,2,0.8102069999999999,0.089793,0.08054662399999998,23,0,1,0.7660712777093398,0.13392872229066027,0.11271708566940093,1145,34,190
4,0.8050649999999997,0.094935,0.08488160499999996,16,1,2,0.803655,0.09634500000000004,0.08599047750000002,14,0,2,0.75917861250036,0.14082138749964002,0.11760590707811303,1243,35,186
5,0.7941749999999997,0.10582499999999995,0.0933343625,12,0,6,0.7936799999999999,0.10631999999999997,0.09370909250000002,17,2,0,0.7578071820906258,0.14219281790937416,0.11903884221333423,1377,48,212
6,0.8101035000000001,0.08989650000000002,0.08084404935000004,15,0,1,0.8091031153846157,0.09089688461538462,0.08163452343461541,26,0,1,0.7668011422762763,0.1331988577237237,0.11252012559192348,1337,31,202
7,0.7284599999999999,0.06653999999999999,0.0596628,13,0,1,0.7046856719733432,0.09031432802665676,0.06512134208071087,398,1012,221,0.6654967312294254,0.12950326877057453,0.0907068912790932,768,68,130
8,0.8066924999999999,0.0933075,0.08362506625000003,19,0,0,0.8056875000000001,0.09431250000000002,0.08441860263888891,16,0,3,0.7700967036433908,0.12990329635660933,0.11029263529100805,1435,39,198
9,0.8024400000000004,0.09756000000000008,0.08698449600000008,19,0,0,0.801414,0.09858600000000002,0.08778652560000001,15,0,2,0.7713586987069042,0.12864130129309584,0.10963196901754024,1113,24,154
10,0.8221679999999999,0.07783199999999996,0.07106754239999996,15,1,0,0.821523,0.07847699999999998,0.0716013822,12,1,1,0.7913911701593375,0.10860882984066267,0.09486301157216101,1203,12,164
11,0.8221679999999999,0.07783199999999997,0.07106754239999996,17,0,1,0.821307,0.07869300000000001,0.07177599779999999,15,1,1,0.8002741373585266,0.09972586264147343,0.0882788174886524,884,12,98
12,0.8097399999999999,0.09025999999999998,0.08118080977777777,13,0,2,0.8092360000000001,0.09076400000000003,0.08158282026666665,17,1,1,0.7891865825303198,0.11081341746968013,0.09674072169979854,1040,12,122
13,0.8169075000000003,0.08309250000000001,0.07536070575,17,0,0,0.8156925000000002,0.08430750000000001,0.07634532915,18,0,1,0.7756287797571618,0.12437122024283827,0.10634133283287941,1338,34,194
14,0.5976,0.15239999999999995,0.1214064,13,0,2,0.5689582289057454,0.18104177109425024,0.12167506175105562,4735,16614,3855,0.5099363402864631,0.24006365971353674,0.14852642490703422,772,155,213
15,0.8293349999999998,0.07066499999999998,0.06511456625000002,16,0,2,0.8283524999999999,0.0716475,0.065942665625,18,0,1,0.7942864014551689,0.1057135985448312,0.09244253793739052,1342,28,167
16,0.8119799999999999,0.08801999999999999,0.07936623000000005,17,0,1,0.8112,0.08880000000000002,0.0799865625,17,0,3,0.7843384478222861,0.11566155217771408,0.10003916748178285,1392,35,188
17,0.8212250000000001,0.07877500000000004,0.07187914861111114,19,0,0,0.8208550000000001,0.079145,0.07218401944444444,16,0,2,0.8059468105883745,0.0940531894116255,0.0841156891377355,1584,16,142
18,0.8231384999999998,0.0768615,0.07029033095000002,17,0,1,0.8228669999999999,0.077133,0.07051474709999998,16,0,2,0.8110166843757138,0.0889833156242863,0.08005790023612165,1568,15,160
19,0.809364705882353,0.09063529411764706,0.08138692837370247,18,0,1,0.8083257352941177,0.09167426470588234,0.08220413604238755,18,0,0,0.7706193906998404,0.12938060930015954,0.10927116068606454,1388,38,175
20,0.817956,0.08204399999999998,0.07455511243636363,17,0,0,0.8173750909090909,0.0826249090909091,0.07502822889917357,13,1,2,0.8018263373253385,0.09817366267466163,0.08730882439776214,986,16,99
21,0.8061299999999999,0.09386999999999997,0.08395427454545454,18,0,0,0.805088181818182,0.09491181818181818,0.08476165768595043,17,0,3,0.7701701218541942,0.1298298781458058,0.10917454921902876,1304,30,195
22,0.7972045714285714,0.10279542857142858,0.0910139181061225,16,0,1,0.7964408571428571,0.10355914285714285,0.09160553902040817,17,1,1,0.7656235432476723,0.13437645675232784,0.11379001320555485,1266,29,189
23,0.8027200000000001,0.09727999999999995,0.0866497422222222,13,1,2,0.80176,0.09824,0.08739055111111113,17,0,1,0.7710488465254931,0.12895115347450692,0.10890229373495457,964,22,157
24,0.8306010000000003,0.06939899999999997,0.0640416726,16,0,1,0.8304781764705884,0.06952182352941175,0.06414564644083046,17,0,1,0.8239324748202659,0.07606752517973396,0.0696145491841877,1590,14,133
25,0.8338261085972851,0.06617389140271493,0.061306363068323745,17,0,1,0.8336629411764707,0.0663370588235294,0.061445566227349965,14,1,3,0.8277788537370508,0.07222114626294943,0.06640985932298336,1612,16,128
26,0.8319818181818179,0.06801818181818182,0.06287604958677687,18,0,1,0.8312018181818182,0.06879818181818183,0.06353532495867768,15,0,2,0.7953333465290191,0.10466665347098092,0.09060928403800048,1329,19,166
